"p","not_SPNE","gCC_satisfied?","gCC_how_determined?","gCC_required_non_negative","gCD_satisfied?","gCD_how_determined?","gCD_required_non_negative","gDC_satisfied?","gDC_how_determined?","gDC_required_non_negative","gDD_satisfied?","gDD_how_determined?","gDD_required_non_negative","bCC_satisfied?","bCC_how_determined?","bCC_required_non_negative","bCD_satisfied?","bCD_how_determined?","bCD_required_non_negative","bDC_satisfied?","bDC_how_determined?","bDC_required_non_negative","bDD_satisfied?","bDD_how_determined?","bDD_required_non_negative"
"_00111100","True","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","","delta = 1","-b1 + 3*b2 - 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c"
"_00111101","True","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - b2","","delta = 1","b1 - 3*b2 + 2*c","False","delta = 1","-2*b1 + 2*c"
"_00111110","True","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","b1 - 3*b2 + 2*c","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","","delta = 1","b1 - 3*b2 - c"
"_00111111","True","True","directly","c","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","c*d + (b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_01000000","True","True","directly","c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c","False","directly","-c","True","directly","c","True","directly","c"
"_01000001","True","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","False","delta = 1","-b1 + b2 - 2*c","True","normalised","(b2 - c)*d + c","False","delta = 1","-b2 + c","","delta = 1","-b2 + 3*c","True","normalised","(b2 - c)*d + c"
"_01000010","True","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_01000011","True","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c"
"_01000100","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b2 + c - (b1*d + b2)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b1 + c - (b2*d + b1)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_01000101","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 - b2 + 2*c","False","normalised","-(b2 - c)*d^2 - c*d^2 - 2*(b1 - b2)*d - 2*(b2 - c)*d - 2*c*d - c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b2 - c)*d/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","normalised","(b1 - b2)*d^2 + (b2 - c)*d + c*d + c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_01000110","True","","delta = 1","-b2 + 2*c","False","directly","-(b2 - c)*d^2 - b1*d - c","False","directly","-(b2 - c)*d^2 - b1*d - c","","delta = 1","-b2 + 3*c","","delta = 1","-b2 + 2*c","","delta = 1","b2 - 2*c","True","directly","(b2 - c)*d + c","","delta = 1","-b2 + 2*c"
"_01000111","True","True","directly","c","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","True","directly","c","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_01001000","True","True","directly","c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c","False","directly","-c","True","directly","c","True","directly","c"
"_01001001","True","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","True","normalised","(b2 - c)*d^2 + c*d + c","False","delta = 1","-b1 + b2 - 2*c","True","normalised","(b2 - c)*d + c","False","delta = 1","-b2 + c","","delta = 1","-b2 + 3*c","True","normalised","(b2 - c)*d + c"
"_01001010","True","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","b1 + b2 - 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_01001011","True","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c"
"_01001100","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b2 + c - (b1*d + b2)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(c*d + c)/(d^2 - 1)","True","directly","-b1 + c - (b2*d + b1)/(d^2 - 1)","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_01001101","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 - b2 + 2*c","False","normalised","-(b2 - c)*d^2 - c*d^2 - 2*(b1 - b2)*d - 2*(b2 - c)*d - 2*c*d - c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b2 - c)*d/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","normalised","(b1 - b2)*d^2 + (b2 - c)*d + c*d + c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_01001110","True","","delta = 1","-b2 + 2*c","False","directly","-(b2 - c)*d^2 - b1*d - c","False","directly","-(b2 - c)*d^2 - b1*d - c","","delta = 1","-b2 + 3*c","","delta = 1","-b2 + 2*c","","delta = 1","b2 - 2*c","True","directly","(b2 - c)*d + c","","delta = 1","-b2 + 2*c"
"_01001111","True","True","directly","c","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","True","directly","c","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_01010000","True","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","c","False","directly","(b1 - c)*d^2/(d^3 - 1) - c","False","delta = 1","-b1 + c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_01010001","True","","delta = 1","-2*b1 + 3*b2 + c","True","delta = 1","b2 + c","True","delta = 1","b2 + c","False","normalised","-(b1 - b2)*d^4 - (b1 - b2)*d^3 - (b1 - b2 + c)*d^2 - (b1 + c)*d - c","","delta = 1","-2*b1 + 3*b2 + c","False","delta = 1","-b2 + c","True","normalised","(b1 - b2)*d^2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_01010010","True","False","delta = 1","-2*b1 - 6*b2 + 8*c","","delta = 1","-b1 + 3*b2 - 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c"
"_01010011","True","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c"
"_01010100","True","True","directly","-(b1 - c)*d^2/(d^3 - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b1 - c)*d/(d^3 - 1) + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 + 3*b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b1 - c)*d/(d^3 - 1) - (c*d + c)/(d^2 - 1)","True","directly","-(b1 - c)*d^2/(d^3 - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b1 - c)*d^2/(d^3 - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + 3*b2 + 4*c","False","normalised","-(b1 - b2)*d^4 - (b2 - c)*d^4 - c*d^4 - (b1 - b2)*d^3 - 3*(b2 - c)*d^3 - 3*c*d^3 - 2*(b1 - b2)*d^2 - 4*(b2 - c)*d^2 - 4*c*d^2 - 2*(b2 - c)*d - 3*c*d - c"
"_01010101","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 - b2 + 2*c","False","normalised","-(b2 - c)*d^2 - c*d^2 - 2*(b1 - b2)*d - 2*(b2 - c)*d - 2*c*d - c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b2 - c)*d/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","normalised","(b1 - b2)*d^2 + (b2 - c)*d + c*d + c","False","normalised","-2*(b1 - b2)*d^2 - (b2 - c)*d^2 - c*d^2 - 2*(b2 - c)*d - 2*c*d - c"
"_01010110","True","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 - 3*b2 - 2*c","False","delta = 1","-b1 - 3*b2 - 2*c","True","normalised","(b1 - b2)*d^4 + (b1 - b2 + c)*d^3 + (b1 - b2 + 2*c)*d^2 + (b1 + c)*d + c","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","","delta = 1","b1 - 3*b2 - c"
"_01010111","True","True","directly","c","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","True","directly","c","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_01011000","True","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c*d + c - (b1 - c)*d/(d^3 - 1)","True","directly","c","False","directly","(b1 - c)*d^2/(d^3 - 1) - c","False","delta = 1","-b1 + c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_01011001","True","","delta = 1","-2*b1 + 3*b2 + c","True","delta = 1","b2 + c","True","delta = 1","b2 + c","False","normalised","-(b1 - b2)*d^4 - (b1 - b2)*d^3 - (b1 - b2 + c)*d^2 - (b1 + c)*d - c","","delta = 1","-2*b1 + 3*b2 + c","False","delta = 1","-b2 + c","True","normalised","(b1 - b2)*d^2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_01011010","True","False","delta = 1","-2*b1 - 6*b2 + 8*c","","delta = 1","-b1 + 3*b2 - 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-2*b1 - 6*b2 + 8*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-5*b1 + 3*b2 + 2*c","False","delta = 1","-2*b1 - 6*b2 + 8*c"
"_01011011","True","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c","False","delta = 1","-2*b1 + 2*c","","delta = 1","b1 - 3*b2 + 2*c","True","delta = 1","b1 - b2","False","delta = 1","-2*b1 + 2*c"
"_01011100","True","True","directly","-(b1 - c)*d^2/(d^3 - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b1 - c)*d/(d^3 - 1) + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 + 3*b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b1 - c)*d/(d^3 - 1) - (c*d + c)/(d^2 - 1)","True","directly","-(b1 - c)*d^2/(d^3 - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b1 - c)*d^2/(d^3 - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + 3*b2 + 4*c","False","normalised","-(b1 - b2)*d^4 - (b2 - c)*d^4 - c*d^4 - (b1 - b2)*d^3 - 3*(b2 - c)*d^3 - 3*c*d^3 - 2*(b1 - b2)*d^2 - 4*(b2 - c)*d^2 - 4*c*d^2 - 2*(b2 - c)*d - 3*c*d - c"
"_01011101","True","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d + (c*d + c)/(d^2 - 1)","True","delta = 1","b1 - b2 + 2*c","False","normalised","-(b2 - c)*d^2 - c*d^2 - 2*(b1 - b2)*d - 2*(b2 - c)*d - 2*c*d - c","True","directly","-(c*d + c)*d/(d^2 - 1) - (b2 - c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","directly","2*(b2 - c)*d/(d^2 - 1) + (c*d + c)/(d^2 - 1)","True","normalised","(b1 - b2)*d^2 + (b2 - c)*d + c*d + c","False","normalised","-2*(b1 - b2)*d^2 - (b2 - c)*d^2 - c*d^2 - 2*(b2 - c)*d - 2*c*d - c"
"_01011110","True","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 - 3*b2 - 2*c","False","delta = 1","-b1 - 3*b2 - 2*c","True","normalised","(b1 - b2)*d^4 + (b1 - b2 + c)*d^3 + (b1 - b2 + 2*c)*d^2 + (b1 + c)*d + c","","delta = 1","2*b1 - 3*b2 + 4*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","","delta = 1","b1 - 3*b2 - c"
"_01011111","True","True","directly","c","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","False","normalised","-c*(d + 1) - (b1 - c)*d","True","directly","c","False","directly","-c + (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^2/(d^2 - 1) + c - (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_01100000","True","True","directly","c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 2*c","True","directly","c","False","directly","-c","False","directly","-c","True","directly","c"
"_01100001","True","True","normalised","(b2 - c)*d + c","","delta = 1","-2*b1 + b2 + 3*c","","delta = 1","-2*b1 + b2 + 3*c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","True","normalised","(b2 - c)*d + c","","delta = 1","b2 - 3*c","","delta = 1","b2 - 3*c","True","normalised","(b2 - c)*d + c"
"_01100010","True","False","delta = 1","-b1 - b2 + 2*c","True","directly","(b1 - c)*d + c","","delta = 1","b1 - 2*c","","delta = 1","-b1 + 2*c","False","delta = 1","-b1 - b2 + 2*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 - b2 + 2*c"
"_01100011","True","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b2 + c","","delta = 1","2*b1 - b2 - 3*c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","False","delta = 1","-2*b1 + b2 + c"
"_01100100","True","","delta = 1","-b1 + 3*c","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d + c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 3*c","False","directly","-(b1 - c)*d^2 - b2*d - c","False","directly","-(b1 - c)*d^2 - b2*d - c","","delta = 1","-b1 + 3*c"
"_01100101","True","","delta = 1","-2*b1 + 3*b2 + 3*c","","delta = 1","2*b1 - b2 - 3*c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","","delta = 1","-2*b1 + 3*b2 + 3*c","False","normalised","-(b1 - b2)*d^2 - b2*d - c","False","normalised","-(b1 - b2)*d^2 - b2*d - c","","delta = 1","-2*b1 + 3*b2 + 3*c"
"_01100110","True","","delta = 1","-b2 + 2*c","False","directly","-(b1 - c)*d - c","False","directly","-(b1 - c)*d - c","","delta = 1","-b1 + 2*c","","delta = 1","-b2 + 2*c","False","directly","-(b2 - c)*d - c","False","directly","-(b2 - c)*d - c","","delta = 1","-b2 + 2*c"
"_01100111","True","True","directly","c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_01101000","True","True","directly","c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 2*c","True","directly","c","False","directly","-c","False","directly","-c","True","directly","c"
"_01101001","True","True","normalised","(b2 - c)*d + c","","delta = 1","-2*b1 + b2 + 3*c","","delta = 1","-2*b1 + b2 + 3*c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","True","normalised","(b2 - c)*d + c","","delta = 1","b2 - 3*c","","delta = 1","b2 - 3*c","True","normalised","(b2 - c)*d + c"
"_01101010","True","False","delta = 1","-b1 - b2 + 2*c","True","directly","(b1 - c)*d + c","","delta = 1","b1 - 2*c","","delta = 1","-b1 + 2*c","False","delta = 1","-b1 - b2 + 2*c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 - b2 + 2*c"
"_01101011","True","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b2 + c","","delta = 1","2*b1 - b2 - 3*c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","False","delta = 1","-2*b1 + b2 + c"
"_01101100","True","","delta = 1","-b1 + 3*c","","delta = 1","b1 - 2*c","True","directly","(b1 - c)*d + c","","delta = 1","-b1 + 2*c","","delta = 1","-b1 + 3*c","False","directly","-(b1 - c)*d^2 - b2*d - c","False","directly","-(b1 - c)*d^2 - b2*d - c","","delta = 1","-b1 + 3*c"
"_01101101","True","","delta = 1","-2*b1 + 3*b2 + 3*c","","delta = 1","2*b1 - b2 - 3*c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","","delta = 1","-2*b1 + 3*b2 + 3*c","False","normalised","-(b1 - b2)*d^2 - b2*d - c","False","normalised","-(b1 - b2)*d^2 - b2*d - c","","delta = 1","-2*b1 + 3*b2 + 3*c"
"_01101110","True","","delta = 1","-b2 + 2*c","False","directly","-(b1 - c)*d - c","False","directly","-(b1 - c)*d - c","","delta = 1","-b1 + 2*c","","delta = 1","-b2 + 2*c","False","directly","-(b2 - c)*d - c","False","directly","-(b2 - c)*d - c","","delta = 1","-b2 + 2*c"
"_01101111","True","True","directly","c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","True","directly","c"
"_01110000","True","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_01110001","True","","delta = 1","-2*b1 + 3*b2 + c","True","directly","c","True","directly","c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","","delta = 1","-2*b1 + 3*b2 + c","False","normalised","-(b1 - b2)*d^2 - c","False","normalised","-(b1 - b2)*d^2 - c","False","normalised","-(b1 - b2)*d^2 - c"
"_01110010","True","False","delta = 1","-b2 + c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","False","directly","-c + (b1 - c)*d/(d^3 - 1)","True","directly","c","False","delta = 1","-b2 + c","False","normalised","-(b1 - c)*d^2 + (d^3 - 1)*c","False","normalised","-(b1 - c)*d^2 + (d^3 - 1)*c","False","normalised","-(b1 - c)*d^2 + (d^3 - 1)*c"
"_01110011","True","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b2 + c","False","directly","-c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2","False","delta = 1","-b1 + b2"
